konum,fiyat,ilan_tarihi,metrekare,bina_yasi,toplam_kat_sayisi,oda_sayisi,bulundugu_kat,kredi_uygunlugu
kartal,850000,15 Şubat 2022,125.0,16,12,3+1,6. Kat,Krediye Uygun
kartal,985000,22 Ocak 2022,160.0,5,4,3+1,Çatı Dubleks,Krediye Uygun
kartal,2500000,24 Ocak 2022,120.0,0,7,3.5+1,5. Kat,Krediye Uygun
kartal,850000,24 Kasım 2021,40.0,3,30,Stüdyo,25. Kat,Krediye Uygun
kucukcekmece,1900000,26 Şubat 2022,180.0,0,3,5+2,3. Kat,Krediye Uygun
kucukcekmece,570000,20 Şubat 2022,90.0,5,4,2+1,Yüksek Giriş,Krediye Uygun
kucukcekmece,4350000,11 Şubat 2022,220.0,21,3,4+1,Villa Tipi,Krediye Uygun
kucukcekmece,10000000,07 Şubat 2022,200.0,2,4,1 Oda,Düz Giriş,Krediye Uygun
kucukcekmece,2458000,24 Ocak 2022,152.0,11,15,3+1,14. Kat,Krediye Uygun
kucukcekmece,450000,22 Şubat 2022,75.0,3,3,2+1,Bahçe Katı,Krediye Uygun
kucukcekmece,835000,16 Şubat 2022,88.0,1,3,2+1,1. Kat,Krediye Uygun
kucukcekmece,2750000,12 Ocak 2022,109.0,21,6,1 Oda,Düz Giriş,Krediye Uygun
kucukcekmece,678000,28 Şubat 2022,80.0,5,4,2+1,3. Kat,Krediye Uygun
kucukcekmece,850000,03 Mart 2022,80.0,0,4,2+1,Yüksek Giriş,Krediye Uygun
kucukcekmece,900000,04 Mart 2022,85.0,0,3,2+1,1. Kat,Krediye Uygun
maltepe,835000,27 Şubat 2022,95.0,11,5,2+1,2. Kat,Krediye Uygun
maltepe,3050000,23 Şubat 2022,130.0,3,16,3+1,4. Kat,Krediye Uygun
maltepe,2850000,25 Şubat 2022,215.0,11,4,4+2,4. Kat,Krediye Uygun
maltepe,1345000,03 Mart 2022,90.0,5,4,2+1,Düz Giriş,Krediye Uygun
maltepe,1870000,08 Şubat 2022,110.0,4,4,2+1,3. Kat,Krediye Uygun
maltepe,1875000,22 Şubat 2022,100.0,0,4,2+1,2. Kat,Krediye Uygun
maltepe,2935000,09 Ocak 2022,150.0,11,17,3+1,17. Kat,Krediye Uygun
maltepe,900000,27 Aralık 2021,130.0,11,10,3+1,2. Kat,Krediye Uygun Değil
maltepe,490000,15 Şubat 2022,75.0,11,4,1+1,Bahçe Katı,Krediye Uygun
maltepe,2665000,17 Eylül 2021,154.0,5,11,3+1,3. Kat,Krediye Uygun
maltepe,450000,24 Ekim 2021,110.0,2,3,2+1,3. Kat,Krediye Uygun
pendik,1100000,03 Mart 2022,160.0,21,11,3+1,4. Kat,Krediye Uygun
pendik,1500000,05 Şubat 2022,125.0,3,10,3+1,1. Kat,Krediye Uygun
pendik,1470000,17 Ocak 2022,61.0,4,9,1+1,8. Kat,Krediye Uygun
pendik,625000,20 Aralık 2021,110.0,16,5,2+1,Yüksek Giriş,Krediye Uygun
pendik,950000,19 Aralık 2021,155.0,5,4,3+1,2. Kat,Krediye Uygun
sancaktepe,380000,25 Şubat 2022,192.0,21,3,3+1,1. Kat,Krediye Uygun Değil
sancaktepe,3895000,25 Şubat 2022,216.0,5,11,4+1,10. Kat,Krediye Uygun
sancaktepe,1260000,13 Şubat 2022,150.0,5,3,3+2,3. Kat,Krediye Uygun
sancaktepe,770000,26 Şubat 2022,125.0,11,8,3+1,7. Kat,Krediye Uygun
sancaktepe,1300000,04 Mart 2022,105.0,4,4,2+1,2. Kat,Krediye Uygun
sancaktepe,775000,10 Ocak 2022,90.0,0,4,2+1,2. Kat,Krediye Uygun
sancaktepe,1280000,19 Aralık 2021,100.0,3,7,2+1,3. Kat,Krediye Uygun
sancaktepe,1000000,08 Şubat 2022,90.0,5,6,2+1,3. Kat,Krediye Uygun
sariyer,3700000,25 Şubat 2022,117.0,5,30,3+1,2. Kat,Krediye Uygun
sariyer,7200000,19 Şubat 2022,170.0,5,30,3+1,18. Kat,Krediye Uygun
sariyer,4500000,06 Mart 2022,110.0,5,20,2+1,9. Kat,Krediye Uygun
sariyer,3250000,06 Mart 2022,240.0,21,4,4+2,3. Kat,Krediye Uygun Değil
sariyer,3000000,02 Şubat 2022,72.0,5,30,1+1,10. Kat,Krediye Uygun
sariyer,19000000,30 Ocak 2022,225.0,0,3,3+1,Düz Giriş,Krediye Uygun
sariyer,3300000,19 Ocak 2022,100.0,5,30,1+1,10. Kat,Krediye Uygun
sariyer,2600000,22 Aralık 2021,65.0,5,30,Stüdyo,10. Kat,Krediye Uygun
sariyer,700000000,09 Aralık 2021,1.2,21,2,8+ Oda,Düz Giriş,Krediye Uygun
sariyer,4500000,24 Kasım 2021,128.0,5,24,3+1,19. Kat,Krediye Uygun
